Aircraft,Accidents,Fatal_Accidents,Fatalities,Fatal_Rate,Risk_Score
MCDONNELL DOUGLAS DC-9,5,0,0,0.0,0.0008453085376162301
DOUGLAS DC-8-71,5,0,0,0.0,0.0008453085376162301
BOEING 737-130,6,0,0,0.0,0.0010143702451394759
DOUGLAS DC-9-51,7,0,0,0.0,0.001183431952662722
MCDONNELL DOUGLAS DC-10-40,7,0,0,0.0,0.001183431952662722
BOEING 747-123,7,0,0,0.0,0.001183431952662722
AIRBUS INDUSTRIE A300-600,8,0,0,0.0,0.001352493660185968
BOEING 727-231,9,1,4,0.1111111111111111,0.06818822203437588
MCDONNELL DOUGLAS DC-10,8,1,0,0.125,0.07635249366018597
BOEING 737-3B7,7,1,0,0.14285714285714285,0.08689771766694843
BOEING 747-100,6,1,0,0.16666666666666666,0.10101437024513947
BOEING 737-522,6,1,0,0.16666666666666666,0.10101437024513947
BOEING 767-222,6,1,0,0.16666666666666666,0.10101437024513947
BOEING 767-323,5,1,0,0.2,0.12084530853761623
DE HAVILLAND DHC-7-102,5,1,0,0.2,0.12084530853761623
MCDONNELL DOUGLAS DC-9-30,5,1,0,0.2,0.12084530853761623
AIRBUS A300,10,2,0,0.2,0.12169061707523246
BOEING 727-225A,9,2,0,0.2222222222222222,0.13485488870104254
BOEING 747-300,8,2,229,0.25,0.15135249366018597
BOEING 727-100,12,3,0,0.25,0.15202874049027895
BOEING 727-251,7,2,8,0.2857142857142857,0.1726120033812341
BOEING 727-225,14,4,29,0.2857142857142857,0.17379543533389685
DE HAVILLAND DHC-8-102,10,3,0,0.3,0.18169061707523246
MCDONNELL DOUGLAS MD-83,22,7,57,0.3181818181818182,0.1946284484746023
BOEING 767-300ER,6,2,0,0.3333333333333333,0.20101437024513946
BOEING 767-232,6,2,0,0.3333333333333333,0.20101437024513946
"BOMBARDIER, INC. CL-600-2B19",6,2,0,0.3333333333333333,0.20101437024513946
BOEING 727-227,9,3,1,0.3333333333333333,0.2015215553677092
MCDONNELL DOUGLAS DC-10-10,36,12,111,0.3333333333333333,0.20608622147083683
MCDONNELL DOUGLAS MD-82,28,10,36,0.35714285714285715,0.21901944209636517
BOEING 727-232,19,7,14,0.3684210526315789,0.22426480402188903
MCDONNELL DOUGLAS DC-9-83,8,3,0,0.375,0.22635249366018595
BOEING 727-222,8,3,0,0.375,0.22635249366018595
CANADAIR CL-600-2B19,16,6,3,0.375,0.22770498732037192
BOEING 737-322,13,5,0,0.38461538461538464,0.23296703296703297
AIRBUS A320,85,31,283,0.36470588235294116,0.2331937745512406
BOEING 727-223,18,7,141,0.3888888888888889,0.23637644406875177
MCDONNELL DOUGLAS DC-9-82,31,12,158,0.3870967741935484,0.23749897744934964
BOEING 767-322,5,2,0,0.4,0.2408453085376162
AGUSTAWESTLAND AW139,5,2,0,0.4,0.2408453085376162
GRUMMAN G-73,5,2,1,0.4,0.2408453085376162
BOEING 727-233,5,2,0,0.4,0.2408453085376162
AIRBUS INDUSTRIE A319-111,5,2,0,0.4,0.2408453085376162
BOMBARDIER INC CL600 2D24,5,2,0,0.4,0.2408453085376162
EMBRAER 120,5,2,14,0.4,0.2408453085376162
EMBRAER EMB120,5,2,2,0.4,0.2408453085376162
BOEING 727-247,5,2,0,0.4,0.2408453085376162
LOCKHEED L-1011-385-1,15,6,135,0.4,0.24253592561284867
EMBRAER ERJ190,19,8,42,0.42105263157894735,0.25584375139031007
THE BOEING COMPANY BOEING 737-8AS,7,3,0,0.42857142857142855,0.25832628909551986
BOEING 737-232,7,3,1,0.42857142857142855,0.25832628909551986
ATR ATR42,7,3,0,0.42857142857142855,0.25832628909551986
LOCKHEED L-1011,14,6,1,0.42857142857142855,0.25950972104818254
BOEING 737-400,30,13,165,0.43333333333333335,0.2650718512256974
